id,condition,sceneName,sceneNumber,task,run,block,trial,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,1,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,2,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,3,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,3,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,3,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,3,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,3,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,4,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,5,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,6,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,7,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,7,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,7,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,7,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,7,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,8,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,9,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,10,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,11,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,11,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,11,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,11,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,11,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,12,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,13,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,14,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,15,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,15,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,15,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,15,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,15,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,16,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,17,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,18,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,19,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,19,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,19,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,19,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,19,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,3,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,1,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,2,
999,default,Spatial_temporal,1,TASK_MainLoop,1,20,3,
